formula,target
Be1 Fe1 N3,1.32
Zr1 Te1 O2 F1,0.76
Sn1 Pb1 N2 O1,1.44
Na1 Si1 N2 O1,2.32
Ni1 Mo1 N2 O1,1.16
K1 Cd1 N3,3.6
Mg1 Os1 N3,1.44
Ta1 Ir1 S1 O2,0.56
Sn1 Hg1 N3,2.38
Na1 Ru1 N1 O1 F1,1.08
Ni2 N3,1.48
Nb1 Re1 N3,1.02
Tl1 Re1 O3,0.42
Na1 Hf1 S1 O2,1.64
Ca1 Co1 N1 O1 F1,2.58
Sc1 Cr1 S1 O2,0.62
Mg1 Au1 N1 O2,1.7
Na1 Ca1 N2 O1,2.8
Be1 Si1 N1 O1 F1,1.54
Pd1 W1 N1 O2,1.62
Mn1 Te1 N1 O2,1
Co1 Ir1 N3,1.98
Cu1 W1 S1 O2,1.96
La1 Au1 O2 F1,1.3
Ge1 Pd1 O3,1.04
Bi1 Rh1 O3,1.3
Hf1 Bi1 N3,2.18
Cu1 Ni1 S1 O2,1.06
La1 Ga1 N1 O2,1.7
La1 As1 N2 O1,0.7
Ni1 Pd1 N1 O2,2.18
Al1 Sb1 N1 O2,0.94
Hf1 Pd1 N2 O1,1
Sn1 Ge1 N2 O1,1.1
Pb1 W1 N1 O1 F1,0.54
Rb1 Tl1 N1 O1 F1,1.38
Ti1 Sn1 S1 O2,0.48
Cd1 Mo1 N1 O1 F1,1.9
As1 Ru1 N3,1.78
Na1 Y1 S1 O2,1.02
Y1 Sb1 N3,1.92
Mg1 In1 O3,1.02
Ge1 Rh1 O2 F1,1.14
V1 Ga1 N1 O1 F1,0.56
Ta1 B1 N2 O1,1.5
Mn1 Hg1 O2 F1,1.5
Ba1 Pb1 S1 O2,1.6
V1 Sn1 N1 O2,0.44
K1 Sn1 N2 O1,3.26
La1 V1 O3,0.88
Ag1 Hg1 O2 F1,1.42
Li1 Rh1 N3,2.02
Sr1 Cr1 N2 O1,3.14
Mg1 Ru1 N2 O1,2.52
Fe1 Sn1 N2 O1,1.1
Mg1 Cd1 N3,2.4
Y1 Pt1 N2 O1,1.36
Fe1 B1 O3,2.24
Hg1 Bi1 N3,2.22
Nb1 In1 N2 O1,1.26
V1 Au1 O2 F1,0.66
Sn1 Pd1 O2 F1,1
Re1 Bi1 S1 O2,1.44
Be1 Pt1 O2 F1,1.64
La1 W1 O3,1.28
Ca1 Pb1 S1 O2,1.46
Fe1 Pt1 N1 O1 F1,1.78
Ca2 N3,2.48
Rb1 Y1 N3,2.16
Pd1 Rh1 N1 O2,1.78
Cs1 Te1 N3,3.9
Ta1 Zn1 N2 O1,0.64
Cu1 Rh1 S1 O2,1.1
Be1 Si1 N3,1.86
Hf1 Mn1 N1 O1 F1,1.4
Zn1 Ir1 N1 O2,1.44
Li1 Ag1 N3,2.62
Co1 Sb1 N2 O1,1.14
Ti1 Ag1 O2 F1,-0.04
Re1 B1 N1 O1 F1,1.92
Ni1 Bi1 O3,0.72
Ga1 Re1 N3,0.9
Ti1 Mn1 O2 F1,0.44
Be1 Ru1 S1 O2,1.52
Rb1 Rh1 N2 O1,2.02
Bi1 Pd1 O2 F1,1.12
Rb1 Ru1 N1 O2,0.88
Ti1 As1 N1 O2,1.2
Rb1 Ti1 S1 O2,3.44
Si2 O2 F1,1.36
Nb1 Pd1 N1 O1 F1,0.66
Ni1 Au1 N1 O2,1.7
Zr1 Au1 S1 O2,2.02
Y1 Mg1 N1 O2,1.06
Sn1 Hg1 S1 O2,1.24
Ba1 Nb1 O2 F1,2.46
Y1 Os1 N1 O1 F1,2.52
Al1 Au1 N1 O1 F1,2.54
Cs1 Cu1 S1 O2,3.08
Ru1 Pt1 N1 O2,1.84
Na1 Cr1 N1 O2,1.26
Zn1 Re1 N1 O1 F1,0.9
Cu1 Pb1 N1 O2,1.52
Tl1 Cd1 N3,2.32
Nb1 Cd1 O3,1.18
K1 Ba1 O3,1.26
Mn1 Cu1 N1 O2,1.24
Ag1 Pd1 S1 O2,1.46
Ta1 Te1 N1 O1 F1,1.48
B1 Ir1 N1 O2,2.18
Mn1 Pd1 S1 O2,1.26
Cu1 Ag1 N1 O2,1.88
Ca1 Si1 O2 F1,0.7
Rb1 Co1 N2 O1,4.18
Tl1 Os1 N2 O1,1.18
Ag1 Os1 O3,1.1
Ca1 Nb1 O2 F1,1.64
Sb1 Os1 S1 O2,1.02
In1 As1 O2 F1,0.68
Te1 Pb1 O3,1.18
Li1 Ru1 O3,2.1
Ti1 Sb1 S1 O2,1.46
Ba1 Os1 S1 O2,3.54
Rb1 Be1 N1 O2,1.92
Co1 Bi1 O2 F1,0.68
Ga1 Sn1 S1 O2,0.88
Zr1 Bi1 N2 O1,1.42
Sb1 Mo1 N2 O1,0.54
Tl1 Mo1 S1 O2,0.56
B1 Pb1 O2 F1,0.92
Mn1 Re1 N1 O2,0.58
Co2 N1 O2,1.16
Cr1 Co1 N2 O1,0.8
Re1 Ag1 N1 O2,0.64
Tl1 Fe1 S1 O2,1.22
Sr1 Ca1 S1 O2,1.4
Sc1 Ti1 O3,0.26
Ca1 Te1 N1 O2,0.82
Zn1 Cu1 N1 O1 F1,1.52
Sc1 Pd1 N3,1.54
Ba1 Mn1 O2 F1,-0.06
Ru2 S1 O2,1.36
Ca1 V1 N3,0.98
Si1 Te1 N1 O2,2.04
Bi1 Pt1 O3,1.36
Ba1 Ir1 N3,3.96
Zn1 Sb1 O2 F1,0.8
Ca1 Os1 S1 O2,1.4
Rb1 Pt1 S1 O2,1.62
Fe1 As1 N3,1.82
Ti1 Cr1 S1 O2,0.8
Sb1 Pd1 N3,1.98
Sc1 Cu1 S1 O2,0.78
Co1 Ru1 N3,1.32
Cu1 B1 N1 O1 F1,2.8
Mn1 Ir1 N1 O1 F1,1.5
Ba1 V1 N3,0.84
Ag1 Ir1 N1 O1 F1,1.08
Ba1 Sr1 S1 O2,1.74
Ti1 Sb1 O3,0.54
Ba1 Zr1 N1 O2,0.14
Ba1 Ga1 N2 O1,1.16
Sr1 V1 O3,-0.26
Y1 Cr1 N3,2.26
Ag1 Ir1 N1 O2,2.14
Re1 Rh1 S1 O2,1.08
Fe1 Mo1 O2 F1,1.28
Zr1 Mo1 S1 O2,1.2
Y1 Mn1 N1 O1 F1,1.4
Tl2 O2 F1,0.78
Hf1 Zr1 O2 F1,0.92
Y1 Rh1 S1 O2,1.06
Sc1 Cu1 O3,1.18
K1 Y1 N2 O1,2.56
Y1 V1 N1 O2,0.4
Li1 Mn1 S1 O2,1.04
Ru1 Pt1 O2 F1,1.44
Ca1 Sn1 O3,0.16
La1 W1 S1 O2,0.74
Ge1 Os1 N1 O1 F1,1.14
Zn1 Fe1 N2 O1,1.66
Rb1 Fe1 O3,3.44
Sr1 Cd1 O3,0.92
Al1 Tl1 N3,3.14
Cu1 Sb1 O3,1.14
La1 In1 N3,2.1
Be1 Ni1 N1 O2,1.54
Ge1 Au1 N3,1.94
Sb1 Te1 N3,1.7
K1 In1 O3,2.2
Re1 Ni1 S1 O2,0.8
Re1 Au1 N2 O1,1.96
Y1 Mo1 N1 O1 F1,1.66
La1 Co1 S1 O2,0.54
Rb1 Y1 N1 O1 F1,1.36
Y1 Zn1 N1 O1 F1,1.14
Ti1 Nb1 O3,0.82
Mn1 V1 N1 O1 F1,0.98
Ca1 Ni1 N1 O2,1.02
In1 Os1 N3,1.22
Sr1 Ta1 O2 F1,2.66
Zn1 Cr1 O3,0.48
Al1 Co1 S1 O2,1.54
Cd1 Re1 S1 O2,0.84
Ge1 Ir1 N1 O2,1.2
Ca1 Pb1 N3,2.1
Cs1 Zn1 N2 O1,3.2
Ru1 W1 O3,0.94
Tl1 Ge1 O3,0.64
Nb1 Ge1 N3,1.06
Zr1 Zn1 O3,0.86
Rb1 Ir1 O3,3.66
Fe1 Co1 O3,0.9
Ti1 Mn1 N3,1.38
Re1 Pd1 O3,0.8
Re1 Hg1 O3,2.72
Zn1 Ga1 O3,0.96
Zn1 Ga1 N2 O1,2.1
Cs1 Ti1 O2 F1,0.32
Na1 Li1 O2 F1,2.04
Cs1 B1 N2 O1,3.84
Fe1 Ir1 N1 O2,1.36
V1 B1 O3,0.82
Zr1 Co1 N1 O1 F1,1.26
Li1 Sb1 N1 O1 F1,1.6
Tl1 Sn1 O2 F1,0.3
Si1 Pb1 N3,1.34
Na1 Mo1 N1 O2,1.44
Nb1 Bi1 N2 O1,0.4
Li1 Au1 O3,1.66
Cs1 Pd1 S1 O2,1.74
Si1 Ni1 N1 O2,1.62
Ga1 Mo1 O2 F1,0.42
Si1 Au1 O2 F1,1.16
Cs1 Cu1 N1 O2,1.64
Nb1 In1 S1 O2,0.32
Ca1 Te1 O3,1.18
Rb1 K1 O3,1.88
Mn1 B1 N1 O2,1.28
Sr1 Mo1 N2 O1,1.84
Be1 Hg1 N3,2.24
Cs1 Ca1 O3,1.68
Cs1 Hg1 O2 F1,1.4
Ta1 Cu1 S1 O2,0.26
As1 Ir1 N3,2.1
Hf1 Ni1 N3,1.84
Li1 W1 N2 O1,0.78
Ba1 Na1 S1 O2,1.72
Cr1 Cd1 N1 O1 F1,1.72
Sr1 V1 O2 F1,-0.02
Zr1 Ti1 N3,1.08
Ba1 Fe1 N3,3.92
Na1 Be1 O2 F1,1.26
K1 Au1 O2 F1,1.46
Tl1 Ga1 S1 O2,1.22
Cd1 Te1 S1 O2,1.16
Li1 Y1 O2 F1,0.82
Nb1 Cr1 N2 O1,0.68
Hf1 Bi1 N1 O1 F1,0.64
Nb1 Co1 N1 O2,0.9
Be1 Rh1 O3,1.62
Hf1 Be1 N3,1.26
K1 Sb1 O3,2.32
Rb1 B1 N1 O2,1.82
Re1 As1 N1 O1 F1,1.44
B1 Mo1 N1 O2,1.22
Be1 Te1 N1 O2,2.12
Fe1 Sn1 S1 O2,1
Be1 W1 N1 O1 F1,1.6
Mg1 Mo1 N3,0.98
Mg1 Ta1 O3,0.8
Ca1 Sb1 O3,0.38
Ca1 Co1 O2 F1,2.08
Sr1 Ge1 N3,1.54
La1 Ag1 O3,1.38
Zr1 Cr1 S1 O2,0.5
Zn1 B1 S1 O2,1.46
B1 Ru1 N3,1.94
Na1 Ru1 O2 F1,0.92
Y1 In1 N3,1.86
K1 As1 O3,0.56
La1 Au1 N1 O1 F1,1.48
Sn1 Te1 N3,1.9
Ca1 Bi1 N1 O2,1.28
Cd1 Au1 O3,2.1
Ba1 Zn1 N3,1.9
Be1 Si1 O2 F1,1.44
Rb1 Nb1 N2 O1,2.44
Y1 Ni1 N2 O1,2.4
La1 Ru1 N1 O1 F1,2.28
Ba1 Co1 O2 F1,2.3
Li1 Ge1 S1 O2,1.96
Fe1 As1 O3,1.08
Nb1 Sb1 N2 O1,1.06
K1 Cr1 O3,1.32
Zr1 Te1 N1 O1 F1,0.8
Ba1 Bi1 N1 O2,2.02
Ga1 Pt1 N1 O1 F1,1.54
Ag1 Sn1 N2 O1,1.78
Os1 W1 O3,2.02
Cs1 Re1 N1 O2,0.42
Be1 Pt1 O3,1.84
Sc1 Zn1 O3,1.12
K1 Ru1 N1 O1 F1,3.5
Te1 Au1 N1 O2,1.64
B1 Os1 N1 O2,1.74
V1 Cu1 N1 O2,0.62
K1 Cu1 N2 O1,3.84
Nb1 V1 O2 F1,1.02
K1 Rb1 N3,4.22
K1 Hf1 S1 O2,0.88
Ba1 Mg1 S1 O2,2.3
In1 Co1 N2 O1,2.24
Sb1 Te1 O3,0.98
Sc1 Zn1 N2 O1,1.96
Mn1 As1 N1 O2,0.68
Be1 W1 O3,1.26
Ti1 In1 S1 O2,1.24
Cs1 Ir1 N1 O1 F1,1.42
Rb1 Sn1 N1 O1 F1,1
V1 Os1 O3,1.58
K1 Ta1 O2 F1,2.86
Sc1 Te1 O3,1.2
Cd1 Cu1 S1 O2,1.46
Cd1 Pd1 N1 O2,1.52
La1 Fe1 N1 O2,2.64
Ta1 Ni1 N1 O1 F1,1.5
Al1 As1 N2 O1,1.26
Sc1 B1 N2 O1,3.06
Zr1 As1 O2 F1,0.8
Ca1 Mg1 S1 O2,1.06
Be1 B1 O2 F1,1.36
Sc1 Ir1 S1 O2,0.98
Ta1 Te1 O2 F1,1.9
K1 Ta1 N3,1.26
Cu1 Hg1 O3,1.6
Al2 N3,2
Y1 Be1 N1 O2,2.52
Ca1 Si1 N1 O1 F1,0.8
Fe1 Co1 N3,1.36
In1 W1 N3,1.64
Zn1 Re1 O2 F1,0.84
Al1 Au1 O2 F1,2.32
La1 B1 S1 O2,0.82
Hf1 Zr1 N1 O2,0.64
In1 As1 N1 O1 F1,0.92
Re1 Au1 N3,1.24
Sb1 Pt1 N2 O1,1.3
Na1 Be1 N2 O1,2.56
Ca1 Nb1 N1 O1 F1,2.18
Tl1 Pt1 S1 O2,1.32
Tl1 Ge1 N2 O1,1.9
Re1 B1 O2 F1,1.9
Ti1 Ag1 N1 O1 F1,0.36
V1 In1 N3,2.3
Ta1 Cd1 N2 O1,1.72
Ti1 Mn1 N1 O1 F1,0.56
Pb1 Au1 N1 O2,1.58
Cu1 Rh1 N3,1.92
Hf1 Cu1 O3,1.2
La1 Mg1 N3,2.44
Hf1 Mn1 O2 F1,1.44
Li1 Ta1 O3,0.76
Y1 Os1 O2 F1,1.82
Ba1 Nb1 N1 O1 F1,2.9
Cu1 Hg1 N3,2.86
Be1 Tl1 N1 O2,1.74
Na1 Zn1 O3,1.22
Y1 Al1 N1 O2,0.58
Si1 As1 O3,1
Bi1 Pd1 N1 O1 F1,1.48
Rb1 Mo1 S1 O2,0.8
Nb1 Pd1 O2 F1,0.42
Si2 N1 O1 F1,1.18
Te1 Mo1 N2 O1,1.84
Nb1 Re1 S1 O2,1.66
La1 Sc1 O3,0.08
Hg1 Pd1 N3,2.16
Sn1 Pd1 N1 O1 F1,1.24
V1 Au1 N1 O1 F1,0.84
Y1 Os1 S1 O2,0.94
Re1 Hg1 S1 O2,0.84
Ca1 Zr1 N1 O2,1.3
Ga1 Si1 S1 O2,1.56
Ti1 Hg1 O3,0.56
V1 Ni1 O3,0.72
Na1 Sn1 N1 O2,0.8
Be1 Pt1 N1 O1 F1,1.88
Zn1 Ge1 S1 O2,1.26
K1 Co1 S1 O2,1.36
Sr1 Ir1 N3,4.2
Fe1 Pt1 O2 F1,1.44
Cd1 Mo1 O2 F1,1.58
Ti1 Rh1 N3,1.26
Hf1 Ti1 O3,0.84
Rb1 Tl1 O2 F1,1.04
Pb1 W1 O2 F1,0.6
Ba1 Zr1 N1 O2,1.6
Sr1 Be1 N1 O2,3.26
Mg1 Sb1 N1 O2,1.36
Pd1 Rh1 O3,1.78
Hf1 Pd1 N3,1.84
Be1 Ru1 O3,1.4
K1 Pt1 N1 O2,3.42
V1 Pt1 N2 O1,0.9
Li1 Cd1 N1 O2,2.04
Hf1 Ga1 N2 O1,1.08
Al1 Ru1 N2 O1,1.74
Mn1 Hg1 N1 O1 F1,1.92
Cu1 Ag1 N1 O2,1.96
Ag1 Hg1 N1 O1 F1,1.62
Ca1 Ga1 S1 O2,0.76
V1 Ga1 O2 F1,0.22
Ge1 Rh1 N1 O1 F1,1.26
Ge1 Os1 O2 F1,1.26
Zn1 Hg1 N1 O2,2.22
Sr1 Au1 N1 O2,1.42
Hf1 Al1 S1 O2,0.94
Cu1 Pt1 N3,1.98
Cr1 Ni1 N2 O1,1.56
Ru1 Pt1 N1 O1 F1,1.24
La1 Cr1 O3,-0.2
Rb1 Y1 O2 F1,0.5
Y1 Mo1 O2 F1,1.2
Mn1 Ge1 O3,0.32
Y1 Zn1 O2 F1,0.68
Cd1 Pd1 N3,1.84
Co1 Si1 O3,0.84
Sn1 Ir1 S1 O2,1
La1 Ga1 O3,-0.04
K1 Sr1 O3,1.3
Ga1 Ge1 N3,1.72
Li1 Si1 N2 O1,1.54
Sc1 In1 S1 O2,1.1
Ta1 W1 N3,1.18
K1 As1 N2 O1,1.88
Fe1 Mo1 N1 O1 F1,0.94
Y1 Cd1 O3,1.04
Na1 V1 S1 O2,1.38
Hg1 B1 N1 O2,3.5
Y1 Mo1 N2 O1,0.5
Hg1 Pd1 N1 O2,1.78
Cu1 Hg1 S1 O2,1.16
Li1 Pt1 N3,2.18
Tl2 N1 O1 F1,1.16
Y1 Mn1 O2 F1,0.68
Fe1 Pb1 N3,1.3
Na1 Au1 N2 O1,2.28
Hf1 Zr1 N1 O1 F1,1.1
Os1 Au1 N1 O2,2.28
Ta1 Ir1 O3,1
Sr1 Au1 N1 O2,2.46
Zn1 Sb1 N1 O1 F1,1.16
Ti1 Pt1 N3,1.8
Rb1 Os1 N2 O1,1.46
Pd1 Pt1 O3,1.8
K1 Rh1 N1 O2,3.32
V1 Rh1 N2 O1,0.82
In2 O3,0.88
In1 Pd1 N1 O2,1.84
Cs1 Ir1 S1 O2,3.94
Ir1 Pb1 N1 O2,1.72
Tl1 Pt1 N1 O2,2.56
Ti1 Zn1 N1 O2,0.9
Ag1 Mo1 O3,0.4
Na1 La1 S1 O2,1.52
Bi1 Sb1 N3,2.04
Mn1 Ir1 O2 F1,1.26
Cu1 B1 O2 F1,2.6
Ag1 Ir1 O2 F1,1
Zr1 Ge1 O3,0.28
Zr1 Nb1 N2 O1,0.46
Tl1 Rh1 N2 O1,1.62
B1 Pb1 N1 O1 F1,1.26
Tl1 Ru1 N1 O2,1.12
Sb1 Rh1 S1 O2,0.94
Li1 Ga1 N2 O1,2.68
Hf1 Nb1 N1 O2,1.32
Co1 Bi1 N1 O1 F1,0.88
Ba1 Mn1 N1 O1 F1,0.6
Zn1 Cu1 O2 F1,1.16
Sc1 Bi1 N3,1.62
Ta1 Si1 N1 O2,1.22
Mo1 Ru1 N1 O2,1.14
Hf1 Bi1 O3,0.46
Ti1 B1 N1 O2,2.2
La1 Nb1 N2 O1,0.1
Te2 N2 O1,1.28
Rb1 Os1 N2 O1,2.6
Ir1 W1 N1 O2,1.62
Fe1 Ag1 N3,1.9
Cs1 Hg1 N2 O1,3.54
Sr1 Tl1 O3,0.88
Al1 Cd1 N3,1.78
Cs1 Hg1 S1 O2,1.86
Ga1 Au1 N1 O1 F1,1.28
Mn1 Sn1 N3,1.04
Ta1 Cu1 O2 F1,0.2
Sr1 Sb1 N2 O1,1.1
Sc1 Sb1 N1 O1 F1,1.6
Sr1 V1 S1 O2,0.4
Ba1 Na1 O2 F1,0.96
Na1 Be1 S1 O2,1.68
Ba1 B1 N3,2.14
K1 Au1 S1 O2,1.66
Y1 Zr1 N1 O1 F1,1.58
Ni1 Os1 N3,1.62
Na1 Ta1 O3,2.08
Tl1 Ga1 O2 F1,1.2
Mg1 Ni1 N3,1.8
Re1 W1 N1 O1 F1,1.68
Li1 Y1 S1 O2,1.52
Cd1 Te1 O2 F1,1.38
K1 Zr1 N3,2.44
Be1 Ga1 O3,1.04
Sb1 Os1 N2 O1,1.48
Nb1 Cu1 O3,0.28
Na1 Pt1 N1 O2,1.4
Ca1 B1 N3,2.08
Fe1 Sn1 O2 F1,0.88
Rb1 Sr1 N2 O1,3.48
Be1 Cr1 O3,1.28
Rb1 Sc1 N1 O1 F1,3.3
K1 Au1 N3,2.66
Zr1 Sn1 N3,1.26
Na1 W1 N1 O2,-0.06
Cd1 Re1 O2 F1,0.76
Zn1 W1 N1 O1 F1,0.72
Sr1 Ta1 S1 O2,1.7
Hf1 In1 N3,1.28
Al1 Co1 O2 F1,1.5
Na1 Mg1 N2 O1,2.4
As1 Pd1 N1 O1 F1,1.28
Ti1 Nb1 N1 O2,0.58
Cs1 Ti1 S1 O2,0.92
Ca1 Sb1 O3,1.52
Fe1 Rh1 N3,1.44
Cs1 Ge1 N2 O1,1.98
La1 Hf1 N1 O1 F1,0.6
Na1 Li1 S1 O2,1.84
Cd1 As1 N1 O1 F1,1.8
Cr1 Pb1 N2 O1,0.84
Co1 Pb1 N1 O2,1.02
V1 Si1 N2 O1,0.72
Sr1 B1 O3,0.96
Cu1 Ir1 N2 O1,1.88
Tl1 Sn1 S1 O2,0.82
Sn1 Sb1 N2 O1,0.94
Ca1 Sc1 O3,1.78
Cs1 Fe1 N2 O1,2.12
Cs1 Pd1 O2 F1,1.3
In1 Bi1 N1 O1 F1,1.02
Ta1 W1 N2 O1,0.48
Si1 Au1 S1 O2,1.26
In1 Bi1 N3,1.92
Ga1 Mo1 S1 O2,0.6
Nb1 In1 O2 F1,0.16
K1 Ca1 N1 O2,2.32
Ca1 V1 N2 O1,0.68
Tl2 N3,2.5
Ir1 Au1 O3,2.28
Nb1 Tl1 O3,1.34
Y1 Zr1 N3,0.92
Ga1 Os1 N2 O1,1.16
Ba1 La1 N1 O2,1.24
Hf1 W1 O3,1
In2 N1 O2,1.26
Sn1 Sb1 N3,1.7
Ba1 Mg1 O2 F1,1.6
Nb1 V1 S1 O2,1.2
K1 Hf1 O2 F1,0.1
Re1 Ir1 N2 O1,1.54
Ti1 Cd1 N1 O2,0.74
Al1 Pd1 N3,1.82
Rb1 Pb1 N2 O1,2.5
La1 Pt1 N1 O1 F1,2.04
Ca1 Cu1 N3,2.02
Ti1 In1 O2 F1,1.28
Sc1 Sn1 N3,1.32
Hf1 V1 O3,0.62
Be1 Ga1 N1 O1 F1,1.84
Rb1 Li1 O3,2.5
Bi1 Au1 N1 O1 F1,1.58
Ca1 La1 N1 O2,1.04
Rb1 Li1 N2 O1,3.02
K1 Ta1 S1 O2,3.44
La1 Y1 N1 O2,0.68
Cd1 Cu1 O2 F1,0.9
Sb1 Pb1 N2 O1,1
Y1 In1 N2 O1,1.74
V1 Cd1 N1 O2,2.04
Zr1 As1 S1 O2,0.76
Ca1 Mg1 O2 F1,0.84
Be1 B1 S1 O2,1.48
Ta1 Ir1 N3,1.38
Ca1 Co1 S1 O2,1.24
Na1 Hf1 N1 O1 F1,2.4
Sr1 Co1 N1 O2,0.76
Te2 O3,1.18
Sr1 Cr1 N2 O1,0.88
Mn1 Ag1 N2 O1,1.94
Cd1 Hg1 N1 O2,1.94
Zr1 Cr1 O2 F1,0.52
Sc1 Cr1 N1 O1 F1,0.98
Ag2 N2 O1,2.46
K1 Bi1 N2 O1,2.02
Zn1 B1 O2 F1,1.02
Ta1 Ir1 N1 O1 F1,0.76
Na1 Ru1 S1 O2,1.18
Y1 Mn1 N3,0.76
Ba1 Ti1 N2 O1,3.26
Ca1 Ti1 N3,1.24
Sc1 Hg1 N2 O1,1.64
Be1 Si1 S1 O2,1.14
Ca1 Pd1 O3,1
Cu1 W1 N1 O1 F1,1.8
La1 Ru1 O3,0.64
Mn1 Cr1 N1 O2,0.88
Mg1 In1 N2 O1,2
Li1 As1 N3,2.08
Ba1 Co1 S1 O2,2.9
Li1 Ge1 O2 F1,1.44
Ir1 W1 N2 O1,1.46
La1 Tl1 N1 O2,1.52
Sc1 Be1 O3,1.98
Ca1 Ti1 N2 O1,1.86
Co1 Os1 N1 O2,1.56
Cr1 Os1 N2 O1,0.94
Ir1 Pt1 N3,1.9
Nb1 Re1 O2 F1,1.36
Re1 Bi1 N1 O1 F1,2.1
Zn1 Si1 N3,1.86
Sr1 Te1 N2 O1,3.02
Ga1 Si1 O2 F1,1.14
Y1 Os1 O2 F1,1.52
Re1 Hg1 O2 F1,0.64
Sc1 B1 N3,3.24
Nb1 Re1 N3,1.9
Sc1 Nb1 N1 O2,0.5
Cu1 Rh1 N1 O1 F1,1.68
Zn1 Ge1 O2 F1,0.88
La1 W1 O3,0.4
Pt1 Pb1 N3,2.86
Ca1 Pb1 N1 O1 F1,1.32
K1 Co1 O2 F1,0.8
Hg1 Sb1 N3,1.8
Fe1 Pt1 S1 O2,1.4
Cd1 Mo1 S1 O2,2.06
Ti1 Sn1 N1 O1 F1,0.36
Nb1 Au1 N1 O2,1.7
Rb1 Tl1 S1 O2,1.64
Pb1 W1 S1 O2,0.6
Cu1 Ni1 N1 O1 F1,1.64
Tl1 Ga1 O3,1.28
Be1 Fe1 N1 O2,1.38
Ba1 Pb1 N1 O1 F1,1.6
Ca1 Ga1 O2 F1,0.16
Hf1 Sb1 N3,1.38
Sb1 Rh1 O3,1.24
Y1 Zn1 N1 O2,1.72
Na1 Y1 N1 O1 F1,1.38
V1 Ga1 S1 O2,0.52
Ge1 Mo1 N2 O1,0.52
Ag1 Pd1 N1 O1 F1,1.3
Sc1 Ir1 O2 F1,1.56
Ta1 Te1 S1 O2,1.38
Mn1 Pd1 N1 O1 F1,1.6
Zn1 Re1 S1 O2,0.92
Cs1 Cu1 N1 O1 F1,2.9
