formula,target
Li10 Cl6 O2,3.6165
Rb2 Li1 Ta1 I6,0
Na2 Dy1 Cu1 Cl6,1.5228
Na2 Er1 Cu1 Cl6,1.5765
K2 Ga1 Hg1 Cl6,0
K2 Sc1 Au1 F6,1.5725
K2 Rh1 Au1 F6,0.5953
Cs1 K2 Sb1 F6,3.0671
K2 Li1 Ta1 Cl6,0
K2 Na1 Ta1 Cl6,0
Ba1 Ni1 O3,0
Cu2 Si1 O4,0.0959
Li5 Mn2 Co1 O8,0
Li5 Mn2 Co1 O8,0
Li4 Mn2 Co4 O12,0.8201
Sc1 Cu3 Pb1 Se4,1.5942
Sb16 H80 C24 F48,4.7915
Na4 Zn4 Mo4 O20,0.1485
Mn6 V4 Si6,0
K2 Au2 Br8 O4,0.3915
Lu4 S6,2.5108
Hg4 N4 Cl4,0
Ac1 Ce3,0
Ac1 Ce3,0
Ba6 Bi2,0
Ca6 Dy2,0
Ce6 Tm2,0
Co6 Sn2,0
Gd3 Au1,0
Cs1 Eu1 O3,0
Pu1 S3,0
Sn6 Au2,0
Sr3 La1,0
Sr1 Pt1 O3,0
Ta3 Pd1,0
Y3 Bi1,0
Na4 I2 O12,0.1876
Fe4 O4 F10,0.789
Eu1 H9 C5 N2 O8,0
Li12 Al12,0
Cd4 N4 O16,0.0421
Ti4 Fe8 O16,0
Rb2 U2 Cr2 I2 O20,0.1419
Np4 Co34,0
Li4 Th10 O2 F44,1.303
Cu8 Bi4 Te4 S4 O40,0.0985
Ba8 W4 O24,0.3866
Cu8 Sn24 H216 C72 N8 Cl8,2.8242
K8 Si8 O24,0.1873
As4 S16 N12,1.2746
Ca4 Mn2 Al4 Si8 B2 O30,1.0911
Sr4 U8 Se20,0.0027
K2 P2 H24 Pt2 C4 N4 Cl4 O8,2.514
H64 S4 N24 O40,3.0914
Na16 Y6 Si24 O72,0
H18 C2 N18,2.008
Sr2 Li4 Al8 P8 O40,0
K8 As8 O8 F40,1.1817
Cu20 Si16 O56,0
Cd4 H56 C32 N8 O24,3.4231
Sm12 Sb16 S36,0
P16 H216 C80 N32 Cl8,3.7151
V4 H96 C32 N16,1.7011
Sr2 Pr1 Nb1 O6,2.8828
Tm2 Sn2 Pt4,0
Sm2 P2 Os4 C2,0
Sm4 Ta4 O18,0.3021
Rb4 Tm4 S8 O36,1.0147
Rb4 Lu4 S8 O36,0.9989
Ni2 H40 C8 N20 O24,3.4286
Mg4 Si8 O22,0
La4 Mo4 O20,2.3364
C12 S8 O8 F16,3.549
Ce14 Pt6,0
Ag2 Bi4 W2 O16,0.167
Zr1 U1 Al4,0
Zr2 Cr2 Cu2,0
V1 Ni3,0
V4 W1 C5,0
U2 As1 Se1,0
U3 Al3 Co1 Rh2,0
Ti3 N4,0
Ti4 Fe2 B4 Ru4 Rh6,0
Tc1 Ni1,0
Ti4 H2 C2 Se8 Cl32 O10,0.2305
Tb2 Fe17 N2,0
Sr2 Ca4 Yb20 O36,0
Sm1 Bi1 Te3,0.9845
Nb3 Co8 Si1,0
Nb18 Fe6 Ge4,0
Na1 Fe3 O4,0
La4 Sb1 Te7,0
K1 Ti1 O2 F1,0.8783
K1 Na1 Ca3 Mg10 Si16 O48,3.2703
In1 As4 Pd15,0
H15 Se3 N3 O12,3.4286
Er1 Ga6 Fe6,0
Dy4 Fe1 S7,0.1591
Er4 Fe2 Sb2 O14,1.5271
K8 In18 Si28,0.1284
Cr2 In2 Co2 S8,0
Co1 Rh2 O6,0
Ce1 Mn7 Ni5,0
Ca1 Y1,0
Ca1 Mn1 V4 Cu2 O12,0
Be46 Ru7,0
Al2 Cu1,0
Tb2 Yb4 Pr2 S12,1.2724
Fe1,0
Sb4 Pt4 O14,0.5643
In2 Sb2,0
Fe21 S24,0.0228
H16 Se2 N4 O8,3.6061
H32 N16 O24,3.2767
H40 N16 F8,5.4604
B20 H44 N8,3.8593
Li2 Ge1 Pd1,0.034
Dy1 Al3,0
Mo9 P12 O48,1.1783
Ni4 P8 O28,0
Rb4 Na2 Mn2 C12 N12,0
Si4 O8,4.8294
Li8 I8 O24,3.5575
Sn10 W16 O46,1.7195
Ag4 C4 S4 N4,2.2797
Cd2 Fe1 C6 N6,2.609
Ta2 Si4 H70 C24 N8,3.2977
Fe4 H4 C8 O12,1.8731
V12 H24 C4 N4 O28,1.9649
P8 H24 O24,4.1531
Ru4 C12 Se4 O12,2.1874
Ce1 Bi1,0
Fe8 Si8 Ge8,0.438
K8 Co14 O28,0
Sb16 Se80 F96,0.0239
Y20 Pb16,0
Li6 Nb6 As12,0
Tl54 Sb6 Te36,0.4892
Na8 C8 S8 O24 F24,5.8787
Sr4 Pr4 Mn2 Cu2 O16,0
Na4 H12 C8 O14,2.7221
Ni2 H32 C4 S6 N12 O14,2.0363
Tb1 Zr4 O10,0
Zn1 Re1 O4,0
Li3 Co2 O2 F3,0
Li2 Co2 O4,0.8952
V4 Co4 O16,0.2601
Li3 Cr2 Fe5 O12,0
Rh2 I4,0
Pu2 Si4 Pt4,0
Zr1 Si1 Pt1,1.3298
Rb1 Sr3,0
Rb1 Pt1 O3,0
Rb1 Pd1 O3,0
Nd6 Si2,0
Yb3 Ru1,0
Ga3 Au1,0
Al8 As8,0.3385
Mn2 Sn2,0
Al10 Cu6 O24,0
Mg2 Ti4 O8,0
Al8 Ni6 O24,0
Ca1 Fe18 O26,0.8057
Fe2 F8,1.6229
Al10 Fe6 O24,1.502
Al4 W6 O24,1.8538
Mn4 Al4 O12,0.6812
Ca4 Sb2 W2 O12,0.8146
Ti4 Zn6 Si8 O28,0.0667
Ca8 Ti16 O32,0
La1,0
Ca12 Mn16 O32,0.4101
Al3 V1,0
W2 C1,0
Li1 Mn1 As1,0
Ta1 Co1,0
Li12 Cr8 Ge12 O48,0.0194
Sr1 Ir1 O3,0
Mg6 Bi1 Sb1,0
Na1 Sr1 Mg6,0
Na1 Sr1 Mg6,0
La1 Ce1 Mg6,0
Cr1 Ni1 Sb1,0
Eu2 O4,0
Na4 Cl2,0
Re2 N4,0
Ca4 Si2 O8,4.1723
Sr4 S3 O1,2.1146
Ba1 Li1 Mg6,0
Li1 Mg6 Ti1,0
Li1 Mg6 Ti1,0
La1 Mg6 Sn1,0
Cs1 Na1 I1 Cl1,3.8426
Mg6 Cd1 Co1,0
Li1 Mg6 Co1,0
Mg6 Co1 B1,0
Na1 Mg6 Cu1,0
Na1 Mg6 Cu1,0
La1 Mg6 Cu1,0
Hf1 Mg6 Zn1,0
Mg6 Ti1 Zn1,0
Mg6 Zn1 Si1,0
Ce1 Mg6 Zn1,0
Ca1 La1 Mg6,0
Ca1 La1 Mg6,0
Ca1 Mg6 Sn1,0
Mg6 Al1 Si1,0
Ba1 Mg6 Al1,0
Mg6 Zr1 Al1,0
U2 W2 C3,0
Dy2 In2 Pt4,0
K1 Na1 Mg14,0
Mg14 Ti1 Cr1,0
Mg14 Bi1 Mo1,0
Hf1 Mg14 Mo1,0
Ba1 Mg14 Sb1,0
Ba1 Sr1 Mg14,0
Mg14 Cr1 Si1,0
Ba1 Mg14 Si1,0
Ce1 Mg14 Cr1,0
La1 Mg14 Bi1,0
La1 Mg14 Nb1,0
K1 Sr1 Mg14,0
Rb1 Li1 Mg14,0
Mg14 Cu1 Mo1,0
Mg14 Fe1 Bi1,0
Mg14 Zr1 Nb1,0
K1 Mg14 Cu1,0
Mg14 Zr1 Si1,0
Ba1 Mg14 Zr1,0
Mg14 Ga1 Fe1,0
Mg14 Zn1 Fe1,0
K1 Y1 Mg14,0
Mg14 Mn1 Nb1,0
Mg14 Mn1 Cr1,0
Hf1 Mg14 Mn1,0
Mg14 Mn1 Si1,0
Ca1 Mg14 Nb1,0
Ca1 Mg14 Nb1,0
Mg14 Mn1 Fe1,0
K1 Ca1 Mg14,0
Na1 Mg14 V1,0
La1 Mg14 V1,0
Mg14 Cr1 Ni1,0
Mg14 Nb1 Ni1,0
Mg14 Nb1 Ni1,0
Mg14 V1 Ni1,0
Ce1 Mg14 V1,0
Na1 Mg6 Bi1 O8,1.0008
Na1 Mg6 W1 O8,1.2925
Ca1 Mg6 Ti1 O8,0
Mg6 Al1 Co1 O8,0
Mg6 Cr1 Cd1 O8,0
Mg6 Cr1 Cd1 O8,0
Sr1 Mg14 Ti1 O16,0
Sr1 Mg14 Ti1 O16,0
K1 Mg14 Ti1 O16,0.0504
Na1 Hf1 Mg14 O15,0
Mg14 Cd1 Sn1 O16,0
Mg14 Cr1 Sn1 O16,0
Na1 Mg14 B1 O16,3.8059
Na1 Mg14 Si1 O16,0
Mg14 Ti1 Ni1 O16,0
Mg14 Ni1 Sn1 O16,0
Mg14 Nb1 Co1 O16,0
Mg14 Nb1 Cu1 O16,0
Mg14 Nb1 Cu1 O16,0
K1 Mg14 Ga1 O16,1.4007
Ca1 Mg14 Nb1 O16,0
Ca1 Mg14 Nb1 O16,0
Ca1 Mg14 Sn1 O16,0.7521
Mg30 Cu1 C1 O32,0.1643
Mg30 Cu1 C1 O32,2.245
Mg30 Al1 C1 O32,0.9265
Mg12 Bi4,0
Mg8 Bi4,0
Ca4 Zn2,0
Ca4 Mg2,0
Ce6 Mg2,0
Rb1 Hf1 Mg30 O31,0
Na1 Mg30 C1 O32,0.5287
Hf1 Mg30 Si1 O32,0.1598
Hf1 Mg30 Si1 O32,0.0243
Rb1 Mg30 B1 O31,2.6767
Li1 Mg30 C1 O32,0.3561
K1 Mg30 B1 O31,2.2687
K1 Rb1 Mg30 O31,2.3617
Mg30 Ti1 Bi1 O32,0
Mg30 Ti1 Bi1 O32,0
Ca2 Ni4 O8,0.5641
Mg4 Ta8 Cu8 O32,0.3933
Co8 P8 O32,0
Ta8 Zn4 Cu8 O32,0.366
Ca4 Ti8 Cu8 O32,0.6372
Fe8 P8 O36,0
Zn2 Bi6 P6 O26,2.3749
Y2 Mo6 F30,1.8009
Si16 Sn8 O48,3.2095
Y2 Fe6 F30,0
Ta2 W4 O16,0
V1 W2 O8,1.8724
Ca2 V4 O8,0
Ba2 Sb3 O8,0
Cr8 Si16 O48,1.6728
Bi4 As8 O28,0.0268
Zn4 Sn4 As8 O28,1.4058
Ca1 Cu3 Sb4 O12,0
Ca8 Fe8 Bi8 O40,0
Mg8 Fe8 Bi8 O40,0
Ca2 Fe4 O8,1.7561
Bi4 O10,0
Si16 Bi4 O40,0.0771
Mg2 Sn4 P4 O20,2.5621
Sr4 Al2 Cu4 Ni2 O14,0.0573
Zn4 Bi4 Sb4 O20,2.3091
Co4 Si16 O40,1.0566
La2 Zn2 Cr2 Fe2 O12,0.7851
Bi12 O28,0
Sr4 Cu4 Ni2 O14,0
Pr2 Mg2 Bi4 O12,0
Ba6 Sn6 F33,0.0677
Ca2 Pr2 W4 O12,1.3711
Mg4 Sb8 P8 O36,2.1412
Zn6 Sb12 O24,1.7037
La2 Mg2 Cr2 Co2 O12,0.8331
Zn6 Ag12 O24,0
La2 V2 Zn2 Cr2 O12,1.5343
Ca3 Ti4 S8,0
Y4 Ni12 O24,0
Mg2 Co4 S8,0.0823
Y2 V4 O8,0.8194
Ti9 O13,0
Li1 Co4 O8,0
Mg2 Mo4 O12,0.8716
Ta4 Ti2 Zn4 O16,0
Mg2 Co9 O13,0
Mn4 Zn4 O8,0.039
Sr4 Ti2 Cu4 O14,0
Mg1 Bi4 O8,0.6781
Zn1 Sn4 O8,0.6476
Zn2 Co2 Si2 O10,0
Mg2 Co2 Si2 O10,0
Ca2 Cu8 O12,0
Ca4 Cu4 O8,0.1561
Zn6 Bi12 O24,1.3286
Ca4 Nb4 Mo2 O16,0
Cr2 Ir2 O12,0
Al2 Sn6 F30,2.7011
Al1 Mo1 W2 O8,2.3592
Mn4 Zn2 O8,0
Ba2 Y2 Cu8 O14,0
Ba2 Ca3 Mn4 Tl2 O12,0
Mg2 Sb4 O12,1.5252
Zn2 Cr4 O8,1.0532
La2 Mg2 Cr2 Ni2 O12,0
La2 Ta2 Zn2 Cr2 O12,1.8525
La2 Zn2 Cr2 Bi2 O12,0.8995
Cd1 Se1,0
Mn1,0
Mn1 Ni1 Ge1,0
Yb2 Se2,2.2566
Mn2 Cu1 Ge1,0
Tm1,0
U2 Te2 P2,0
Pd4 O2,0
Mg12 Si12,0
Mg6 Si6,0
Mg12 Si12,0
Dy1,0
Er1,0
La4 Ag4 O10,0
Ba4 Sr28 Ti24 Mn8 O80,0
La6 Sm2 Co7 Ag1 O24,0
Sm4 Cu4 O10,0
La7 Sm1 Ni6 Ag2 O24,0
La16 Sm16 Ni28 Ag4 O80,0
Ho2 Sn2 Au2,0
Mg2 In4,0
Ti2 S4,0.2304
Ce2 Al2 Ir2,0
Pr2 Cr1 Se4,0
Ag2 I1 O6,0
Mg7 Nb1,0
Tb2 B4 C4,0
Sr2 Y1 Cr1 O6,0
Ge8,0
Bi4 O6,0
Fe4 N8,0
Ce2 Se4,0.5426
Np4 In2 Pd4,0
Ti4 H3 Pd2,0
U2 Cu2 Bi4,0
Ho2 B4 C4,0
Al1 Au1,0
Zn1 Ga2 S4,0
Zn2 Ga4 S8,0.0001
Zn2 Ga4 S8,0.0011
Zn4 Ga8 S16,1.2869
Nb2 C2,0
Ce16 Se32,0.4683
La2 Mg4,0
Hf3 Mg3,0.201
Mg4 Sn2,0
Mg8 Sn4,0
Sr4 Mg8,0
Mg2 Ti6,0
Y3 Mg3,0
Mg2 Ti6,0
Mg2 Zn4,0
Mg8 Ti6,0
Y3 Mg3,0
Mg4 Sb4,0
Mg3 Ga3,0
Mg2 Sn2,0
Mg1 Ti3,0
Mg2 Sb2,0
Sn2 I6,0
Fe5 O7,0
Sm4 Mn8,0
Al4 Zn2 S8,0
Ca4 Fe4 O10,0.4973
K4 Fe4 O12,0.478
La2 Fe2 O5,0.7647
Mg30 Sn1 Bi1 O32,0
Ba1 Mg30 Nb1 O32,0
Ce1 Mg14 Bi1,0
Ca1 Ce1 Mg6,0
Y1 Mg6 Ga1,0
Ce1 Mg6 Zn1,0
Ce1 Mg6 Cu1,0
La1 Mg6 Ga1,0
Ce1 Mg6 Ga1,0
Na1 V1 O3,0.2252
La28 Sm4 Ni24 Ag8 O80,0
La7 Sm1 Mn5 Fe3 O24,0
K4 Na28 V24 Cr8 O80,0.034
Ca12 Sn12 S36,1.4084
Ca2 Sn8 S18,0
Ca8 Sn12 S32,1.3209
Ca8 Sn12 S32,1.3507
Li9 Mn2 Co5 O16,0
Mg8 Si6,0
Ca12 Sn20 S52,1.3729
U10 As6 Se4,0
Tl90 Sb10 Te60,0.5367
Sn4 P6 O20,0
Ni12 P16 O60,0.0099
Ti4 Cu2 S8,0
Sm3 Mn4 Sn4,0
Zn4 Se8,0.8048
Cu4 Cl2 O6,0
Sm4 Mn8,0
Zn4 Si2 O9,0.1323
Fe2 Si2 Sb1 O9,0.1014
Ho4 Co3 B6,0
Fe2 S2 O10,0.2004
Pu12 Fe2,0
Ca4 Cr4 O10,0.725
K4 Se8 O4,0.0518
K2 Rb1 Pr1 F6,5.0906
Rb2 Na1 Ta1 I6,0
Na3 In1 Cl6,3.1183
Na3 Sc1 Br6,3.0712
Na3 Sc1 I6,2.1552
K3 Mo1 I6,1.4013
Cs2 K1 Ta1 F6,0
Na2 Lu1 Cu1 Cl6,1.6529
K1 Na2 Ga1 F6,4.9444
Na2 Al1 Cu1 F6,0.2257
K2 Y1 In1 F6,3.2879
K2 Na1 Au1 Cl6,0
Na2 Ag1 As1 Br6,0.6909
K2 Na1 Au1 Br6,0
Na2 Cu1 Au1 F6,0
K2 Tl1 Au1 F6,0
Rb2 Y1 Au1 F6,1.5144
Na3 Al1 Cl6,4.0067
Na2 Li1 Sb1 Cl6,2.9225
Na2 Tb1 Cu1 Cl6,1.4922
Na2 Cu1 Sb1 Cl6,0.6409
Na2 Ag1 Au1 Cl6,0
Na2 Ag1 As1 Cl6,1.1729
Na2 Li1 Y1 Br6,3.1247
Cs1 Rb2 Ga1 Br6,2.3691
Na3 Gd1 Cl6,3.004
K2 Sc1 Hg1 F6,0
K2 Y1 Hg1 I6,0
Cs1 K2 Al1 I6,2.1345
K2 Tb1 Au1 Cl6,2.0558
K2 Gd1 Au1 Cl6,1.4942
K2 In1 Sb1 F6,1.8032
Cs1 K2 Y1 F6,5.0793
K2 Al1 Au1 I6,0
Cs2 Cu1 Mo1 I6,0.071
Cs2 Ga1 Au1 Br6,0
Rb2 Pr1 Au1 Cl6,2.1519
Rb2 La1 Au1 Cl6,2.2795
Na3 Sm1 Cl6,3.8194
K1 Rb2 Au1 Br6,0
K1 Rb2 Ga1 I6,0.8349
Ca1 Fe1 W1 O6,0
Tl2 Cl3,0
Na8 Co16 Bi8 O48,0
Tb1,0
Na4 Cu2 I4 Cl4,0
Fe8 As12 O48,0.0059
In4 As2 Se2,0
Sr4 N3,0.0176
Na18 O3,0
Na5 Ca4 Al13 Si11 O48,2.3266
Li5 Mn2 Co1 O8,0
Li5 Mn2 Co1 O8,0
Li7 Mn2 Co3 O12,0
Li7 Mn5 O12,0
Li7 Fe5 O16,0
Li8 Ti4 Co14 O36,0
In1 Fe17 O24,1.0363
Hf4 Ni4 O12,3.0626
Cr6 O6,0.4979
Cr2 Fe3 Sb1 P6 O24,0
Zn1 Cr1 Cu3 Se4,0
Yb8 Si14,0.0101
V2 O5,1.4211
V12 O32,0.598
Sr1 Sc1 Cu3 Se4,1.1262
Sn2 H8,5.5238
Pr2 Cl6 O12,2.2551
Na2 Ga2,0
P24,3.605
Ni1 I2 O6,3.1004
Na3 Ca9 C6 O21 F9,0.0157
Mg1 Cr1 Cu3 Se4,0
Na4 Cu2 S4 O20,0.2494
Mo4 H4 O14,2.199
Mo2 H8 O10,1.8506
K1 Zr1 Cu3 Se4,1.3196
K1 V1 Cu3 Se4,0
K2 Hg2 Br6 O2,1.2144
H12 N8 O18,1.4426
Hg2 I6 N2 O2,0.8265
Gd2 O4,0
H12 N8 O18,1.5925
Cs2 Ge2,0
K2 Na4 Ca5 Si12 O34,0.0027
K8 U8 Cr8 H8 O68,0.1291
Bi4 Se4,0
Bi8 Se4,0
Ba2 V4 P4 H16 O28,2.3972
C12 S8 O8 F16,3.6093
Co2 H64 C16 S8 N4 O20,2.3756
Ba2 Tb2 O6,0
Co12 P8 O36,1.2664
Ac3 Zn1,0
Ac1 Th1,0
As2 Pb6,0
Ba1 Re1 O3,0
Ca3 Ag1,0
Ca3 Y1,0
Ca3 Y1,0
Ca3 Y1,0
Ca6 Tb2,0
Ca2 F6,0
Ca1 F3,0
Ca1 Ho3,0
Cd3 Ir1,0
Cd3 Ir1,0
Ce4 Mg2,0
Cs6 I2,0
Eu3 Ag1,0
Eu1 W1 O3,0
Eu1 Ho3,0
Hg6 Bi2,0
Ge1 Pb3,0
K3 Mg1,0
In6 Ge2,0
K1 Pb1 O3,0
K3 Yb1,0
Li1 Ge3,0
Li1 Pr3,0
Gd6 Ag2,0
Mg1 Bi5,0
Na1 Fe1 O3,0
Np1 Sc1 Tc2,0
Pr6 Ag2,0
Sn3 Ge1,0
Sr1 La3,0
Sr2 Pm6,0
Yb1 Re1 O3,0
Zn1 In3,0
Zr3 Be1,0
Mn2 V4 O14,0.5227
Tl4 Cl12,2.6001
Ca4 As4 O16,0.0577
Ti12 Ge10,0
Sm8 Ni2 S14,0.6141
Cu1 Pb4 S2 O14,0.3995
Co4 Mo8 S16,0
Ba4 Cu2 P4 O18,0
Fe4 Mo8 S16,0
Mn24 C4,0
Rb2 Na2 U2 Si4 O18,0.3832
V4 Re4 O22,0.5941
Li4 Ge6 O16,0
Th4 P4 O20,3.789
La2 B8 Cl2 O16,0.0008
Na2 Fe2 H44 C20 N4 O24,2.5247
H20 C10 N2 O12,3.3189
Co4 H52 C8 N16 O36,2.8071
Co8 Te4 S4 O32,0.323
Al8 H88 C32 N8 Cl8,5.3476
Lu4 I12 O40,0.3059
Cu4 H28 C12 N4 O24,0.5145
Co4 P12 H60 C12 N4 O48,0.4942
Ba4 Re8 O48,1.2273
Cu4 P12 H64 C12 N4 O48,0.6114
P4 H120 Pt8 C40 I8 N4 Cl8,3.1747
U6 H102 C60 N18 O60,2.0488
U4 B24 H144 C24 N12,0.5021
La8 Ge4 S20,0.898
Cu24 Ag9 Pb26 Cl62 O48,0.0429
U8 H48 C16 S16 O64,2.1092
K6 Ga2 Te4 O22,0.7039
B8 As4 H52 C12 Br12 N4,4.7021
Al8 Ge4 O24,0.055
Ti4 P8 H8 O36,0
Sr4 H8 C8 O16,4.9948
H36 Se6 N8 O24,3.5244
Cs2 Fe6 P6 O28,0.021
Ni2 P8 H36 C4 N4 O30,4.3029
Co8 P16 O56,0
Na4 H24 C16 S4 N12 O20,2.3594
Ni6 Se6 O20,0.2723
Bi16 Se24,0.6402
Ta4 H96 C32 N16 Cl4,2.8012
Al48 Ru4,0
K8 U4 Mo8 O44,0.7691
Ta8 H144 C48 N24 Cl8 O4,2.7101
Cr6 S6 O36,0.0742
Rb8 As8 O8 F40,1.1683
Be4 B16 O32,0.0758
K8 Si8 O24,0.2088
Hg10 N6 O22,0
Co2 P4 H72 C24 Br4 N12 O4,2.8065
Cr8 Co4 H80 N24 Cl4 O32,2.6282
Na8 Co8 P8 H16 C16 O48,3.0666
U4 H72 C16 N40 O52,1.7506
K8 Li4 P12 O40,0.5983
U2 B16 O34,0.2341
Cu4 H36 C16 N12 O24,0.2657
H44 C16 Br8 N4,3.64
Sb8 H4 C4 S4 Cl24 O20 F12,2.5391
Cu1 H32 W6 Cl12 O22,0.9259
Cd4 P4 H20 C2 Cl4 O22,3.7449
V1 H17 C4 S4 O20 F12,2.7713
H64 S4 N24 O40,3.3295
H8 C16 O12 F24,5.2909
Zn12 H48 C36 O52,3.7957
Nd4 B28 Cl4 O72,0.0958
K8 Cd6 P12 O48,0
K4 Au4 Br16 O8,0.3625
Ga4 H72 I12 N28,1.5084
U4 B24 H144 C24 N12,0.6425
Y6 Al4 Ni12 H18,0
Si58,0.9195
Ce4 Si4 Ni30,0
Ti4 H76 C24 N12 Cl8,2.4166
Sn4 As4 H48 C16 S4 O6,2.9376
Mg2 B24 H72 O24,2.0586
H24 C4 N28 O2,2.0075
U4 H24 C12 Se4 N8 O28,2.1991
H24 C12 N8 O8,4.7598
B8 P4 H80 C20 N4,5.0835
Sm4 B28 Cl4 O72,0.0702
Ca4 Al8 Si8 O34,0.3076
Cr4 Ni2 H40 N4 O28,2.9907
Cd8 H72 C32 O68,2.7932
Zn12 H24 C24 I8 O48,1.5266
Ti2 H60 C20 S10 Cl4 O12,2.4347
Nd2 Fe15 Si2,0
Fe8 O12,1.1577
Ba2 U1 Ge1 O6,0.6132
K3 U1 F6,0
In1 Ag3 F6,0
Mn2 Ga1 Ni1,0
Ge2 Bi2 Te5,0.5821
Mn2 V1 Sn1,0
Mn3 Sb1 N1,0
Sr2 Sm1 U1 O6,0.5994
Fe2 Co1 Si1,0
Mn1 Cl6,0.1616
Yb4 W4 O20,0
Yb12 Co4 O24,0
Dy1 Cr2 Ge2,0
Tm4 W4 O20,0
Ta10 Zn14 O36,0
Si6 C6 Cl18,3.4114
Si8 Mo16 Pt10,0
Rb1 Li3 S2 O9,0.3175
Pr2 Tl2 W4 O16,2.6964
Rb4 Dy4 S8 O36,0.9675
Rb4 Er4 S8 O36,0.8384
Pr8 Ni2 S14,0.6476
Np6 H2 F24,0.0459
Na1 Ni2 Mo2 O10,0.0867
Na4 Al6 Cl1 O12,0.3647
Sm4 H52 C32 N24 O52,3.3825
Lu4 W4 O20,0
Li2 B7 H7,4.521
Li2 Sm4 Br10,0.0574
Mn4 Al4 P4 H16 O28,3.3452
Li2 B6 H6,4.7144
K4 Dy4 Br12,0
K4 Sm4 S8 O36,0.8407
Ho4 Tl4 S8 O36,1.6992
Li12 Nb2 O12,0.095
Cu8 H56 C32 N24 O56,0.512
Ca2 Y2 Si2 O10,0
Cl8 O8,1.7078
Ca4 Y4 Si4 O20,0.0918
Ca10 Si6 O26,0
C4 S4 N8,2.4825
Ca4 Al2 Si8 O24,0.5989
Ca4 Al6 Si6 O28,0
Ba8 Pd2,0
C64 Cl80,2.413
Au2 Br4,0
Bi4 I20,0.0464
Al2 H24,0
Ag4 B4 H4 C48 N36 F72,3.4749
Zr1 Mn1 Cu2 S4,0.2647
Zr1 Mn1 Cu2 Se4,0.2291
Zn2 Fe1 S3,0
Zn2 Fe1 S3,0
Zn3 Hg1,0
Zn4 Fe2 S6,0
Yb2 Cu2 Ge2,0
Y1 Zr4 O10,0
Zn1 Co4 O10,0
Zr4 Ti6 Ga6,0
Zn1 Cu7 C4 O20,0
Y3 Mn3 Ga2 Si1,0
U2 Al2 Co2,0
V12 C8,0
Ti2 N2 F2,1.5999
Ti1 Mn1 V1,0
U3 As2 Se1,0
Tm1 Fe10 Mo2 N1,0
Tm8 Si4 Pd8,0
Tl6 Si2 O7,1.5759
Ti1 Co2 Sn1,0
V2 H52 C24 O8,2.1149
